Continent,Year,Population Density  
Africa,2000,78.01
Asia,2000,698.5
Europe,2000,587.23
North America,2000,233.6
Oceania,2000,127.41
South America,2000,16.35
Africa,2010,120.08
Asia,2010,1007.61
Europe,2010,666.1
North America,2010,271.07
Oceania,2010,131.1
South America,2010,20.66
Africa,2015,107.78
Asia,2015,941.23
Europe,2015,657.64
North America,2015,263.49
Oceania,2015,128.63
South America,2015,19.62
Africa,2020,120.08
Asia,2020,1007.61
Europe,2020,666.1
North America,2020,271.07
Oceania,2020,131.1
South America,2020,20.66
Africa,2022,125.05
Asia,2022,1025.02
Europe,2022,663.32
North America,2022,272.76
Oceania,2022,132.54
South America,2022,20.97
