Year,Continent,Population Density  
2000,Africa,78.01 
2000,Asia,698.50 
2000,Europe,587.23 
2000,North America,233.60 
2000,Oceania,127.41 
2000,South America,16.35 
2010,Africa,120.08 
2010,Asia,1007.61 
2010,Europe,666.10 
2010,North America,271.07 
2010,Oceania,131.10 
2010,South America,20.66 
2015,Africa,107.78 
2015,Asia,941.23 
2015,Europe,657.64 
2015,North America,263.49 
2015,Oceania,128.63 
2015,South America,19.62 
2020,Africa,120.08 
2020,Asia,1007.61 
2020,Europe,666.10 
2020,North America,271.07 
2020,Oceania,131.10 
2020,South America,20.66 
2022,Africa,125.05 
2022,Asia,1025.02 
2022,Europe,663.32 
2022,North America,272.76 
2022,Oceania,132.54 
2022,South America,20.97 
