Country,Continent,Year,Population,Area,Population Density 
Afghanistan,Asia,2000,19542982.00 ,652230.00 ,29.96 
Albania,Europe,2000,3182021.00 ,28748.00 ,110.69 
Algeria,Africa,2000,30774621.00 ,2381741.00 ,12.92 
American Samoa,Oceania,2000,58230.00 ,199.00 ,292.61 
Andorra,Europe,2000,66097.00 ,468.00 ,141.23 
Angola,Africa,2000,16394062.00 ,1246700.00 ,13.15 
Anguilla,North America,2000,11047.00 ,91.00 ,121.40 
Antigua and Barbuda,North America,2000,75055.00 ,442.00 ,169.81 
Argentina,South America,2000,37070774.00 ,2780400.00 ,13.33 
Armenia,Asia,2000,3168523.00 ,29743.00 ,106.53 
Aruba,North America,2000,89101.00 ,180.00 ,495.01 
Australia,Oceania,2000,19017963.00 ,7692024.00 ,2.47 
Austria,Europe,2000,8010428.00 ,83871.00 ,95.51 
Azerbaijan,Asia,2000,8190337.00 ,86600.00 ,94.58 
Bahamas,North America,2000,325014.00 ,13943.00 ,23.31 
Bahrain,Asia,2000,711442.00 ,765.00 ,929.99 
Bangladesh,Asia,2000,129193327.00 ,147570.00 ,875.47 
Barbados,North America,2000,264657.00 ,430.00 ,615.48 
Belarus,Europe,2000,10256483.00 ,207600.00 ,49.41 
Belgium,Europe,2000,10264343.00 ,30528.00 ,336.23 
Belize,North America,2000,240406.00 ,22966.00 ,10.47 
Benin,Africa,2000,6998023.00 ,112622.00 ,62.14 
Bermuda,North America,2000,61371.00 ,54.00 ,1136.50 
Bhutan,Asia,2000,587207.00 ,38394.00 ,15.29 
Bolivia,South America,2000,8592656.00 ,1098581.00 ,7.82 
Bosnia and Herzegovina,Europe,2000,4179350.00 ,51209.00 ,81.61 
Botswana,Africa,2000,1726985.00 ,582000.00 ,2.97 
Brazil,South America,2000,175873720.00 ,8515767.00 ,20.65 
British Virgin Islands,North America,2000,20104.00 ,151.00 ,133.14 
Brunei,Asia,2000,333926.00 ,5765.00 ,57.92 
Bulgaria,Europe,2000,8097691.00 ,110879.00 ,73.03 
Burkina Faso,Africa,2000,11882888.00 ,272967.00 ,43.53 
Burundi,Africa,2000,6307659.00 ,27834.00 ,226.62 
Cambodia,Asia,2000,12118841.00 ,181035.00 ,66.94 
Cameroon,Africa,2000,15091594.00 ,475442.00 ,31.74 
Canada,North America,2000,30683313.00 ,9984670.00 ,3.07 
Cape Verde,Africa,2000,458251.00 ,4033.00 ,113.63 
Cayman Islands,North America,2000,39658.00 ,264.00 ,150.22 
Central African Republic,Africa,2000,3759170.00 ,622984.00 ,6.03 
Chad,Africa,2000,8259137.00 ,1284000.00 ,6.43 
Chile,South America,2000,15351799.00 ,756102.00 ,20.30 
China,Asia,2000,1264099069.00 ,9706961.00 ,130.23 
Colombia,South America,2000,39215135.00 ,1141748.00 ,34.35 
Comoros,Africa,2000,536758.00 ,1862.00 ,288.27 
Cook Islands,Oceania,2000,15897.00 ,236.00 ,67.36 
Costa Rica,North America,2000,3979193.00 ,51100.00 ,77.87 
Croatia,Europe,2000,4548434.00 ,56594.00 ,80.37 
Cuba,North America,2000,11105791.00 ,109884.00 ,101.07 
Curacao,North America,2000,141424.00 ,444.00 ,318.52 
Cyprus,Europe,2000,948237.00 ,9251.00 ,102.50 
Czech Republic,Europe,2000,10234710.00 ,78865.00 ,129.78 
Denmark,Europe,2000,5340655.00 ,43094.00 ,123.93 
Djibouti,Africa,2000,742033.00 ,23200.00 ,31.98 
Dominica,North America,2000,68346.00 ,751.00 ,91.01 
Dominican Republic,North America,2000,8540791.00 ,48671.00 ,175.48 
DR Congo,Africa,2000,48616317.00 ,2344858.00 ,20.73 
Ecuador,South America,2000,12626507.00 ,276841.00 ,45.61 
