Continent,Year,Population Density 
Asia,2000,29.96
Europe,2000,110.69
Africa,2000,12.92
Oceania,2000,292.61
Europe,2000,141.23
Africa,2000,13.15
North America,2000,121.4
North America,2000,169.81
South America,2000,13.33
Asia,2000,106.53
North America,2000,495.01
Oceania,2000,2.47
Europe,2000,95.51
Asia,2000,94.58
North America,2000,23.31
Asia,2000,929.99
Asia,2000,875.47
North America,2000,615.48
Europe,2000,49.41
Europe,2000,336.23
North America,2000,10.47
Africa,2000,62.14
North America,2000,1136.5
Asia,2000,15.29
South America,2000,7.82
Europe,2000,81.61
Africa,2000,2.97
South America,2000,20.65
North America,2000,133.14
Asia,2000,57.92
Europe,2000,73.03
Africa,2000,43.53
Africa,2000,226.62
Asia,2000,66.94
Africa,2000,31.74
North America,2000,3.07
Africa,2000,113.63
North America,2000,150.22
Africa,2000,6.03
Africa,2000,6.43
South America,2000,20.3
Asia,2000,130.23
South America,2000,34.35
Africa,2000,288.27
Oceania,2000,67.36
North America,2000,77.87
Europe,2000,80.37
North America,2000,101.07
North America,2000,318.52
Europe,2000,102.5
Europe,2000,129.78
Europe,2000,123.93
Africa,2000,31.98
North America,2000,91.01
North America,2000,175.48
Africa,2000,20.73
South America,2000,45.61
Africa,2000,71.2
North America,2000,283.18
Africa,2000,24.42
Africa,2000,20.35
Europe,2000,30.89
Africa,2000,59.35
Africa,2000,60.7
South America,2000,0.25
Europe,2000,32.78
Oceania,2000,45.56
Europe,2000,15.3
Europe,2000,106.34
South America,2000,1.97
Oceania,2000,60.22
Africa,2000,4.76
Africa,2000,134.49
Asia,2000,61.19
Europe,2000,228.36
Africa,2000,82.44
Europe,2000,4623.5
Europe,2000,83.63
North America,2000,0.03
North America,2000,312.3
North America,2000,260.48
Oceania,2000,291.78
North America,2000,107.78
Europe,2000,757.87
Africa,2000,33.91
Africa,2000,34.07
South America,2000,3.53
North America,2000,301.27
North America,2000,59.18
Asia,2000,6097.1
Europe,2000,109.67
Europe,2000,2.73
Asia,2000,322.31
Asia,2000,112.4
Asia,2000,39.77
Asia,2000,56.19
Europe,2000,53.63
Europe,2000,132.1
Asia,2000,294.51
Europe,2000,189.05
Africa,2000,52.1
North America,2000,237.67
Asia,2000,335.52
Europe,2000,743.03
Asia,2000,56.59
Asia,2000,5.59
Africa,2000,53.16
Oceania,2000,109.53
Asia,2000,108.59
Asia,2000,24.68
Asia,2000,22.93
Europe,2000,37.06
Asia,2000,413.38
Africa,2000,65.84
Africa,2000,26
Africa,2000,2.93
Europe,2000,206.41
Europe,2000,55.12
Europe,2000,168.46
Asia,2000,14396.53
Africa,2000,27.62
Africa,2000,94.78
Asia,2000,69.36
Asia,2000,941.69
Africa,2000,9.06
Europe,2000,1263.33
Oceania,2000,299.58
North America,2000,383.46
Africa,2000,2.61
Africa,2000,596.04
Africa,2000,425.71
North America,2000,49.82
Oceania,2000,159.13
Europe,2000,125.62
Europe,2000,16232.5
Asia,2000,1.57
Europe,2000,45.85
North America,2000,50.37
Africa,2000,63.94
Africa,2000,22.17
Asia,2000,67.31
Africa,2000,2.2
Oceania,2000,494.14
Asia,2000,166.87
Europe,2000,379.91
Oceania,2000,11.93
Oceania,2000,14.25
North America,2000,39.3
Africa,2000,9.17
Africa,2000,132.99
Oceania,2000,7.98
Asia,2000,193.86
Europe,2000,79.26
Oceania,2000,173.14
Europe,2000,13.87
Asia,2000,7.57
Asia,2000,175.04
Oceania,2000,42.98
Asia,2000,504.82
North America,2000,39.8
Oceania,2000,11.9
South America,2000,12.6
South America,2000,20.74
Asia,2000,227.71
Europe,2000,123.14
Europe,2000,111.85
North America,2000,431.47
Asia,2000,55.75
Africa,2000,9.16
Africa,2000,312.79
Europe,2000,91.95
Europe,2000,8.59
Africa,2000,307.92
North America,2000,337.24
North America,2000,174.18
North America,2000,258.93
North America,2000,558.68
North America,2000,25.93
North America,2000,292.58
Oceania,2000,64.75
Europe,2000,439.72
Africa,2000,149.08
Asia,2000,10.02
Africa,2000,49.33
Europe,2000,89.8
Africa,2000,177.12
Africa,2000,63.9
Asia,2000,5709.3
North America,2000,896.74
Europe,2000,109.65
Europe,2000,97.88
Oceania,2000,14.88
Africa,2000,13.68
Africa,2000,38.34
Asia,2000,466.91
Africa,2000,9.87
Europe,2000,80.52
Asia,2000,286.18
Africa,2000,13.94
South America,2000,2.92
Europe,2000,19.7
Europe,2000,173.97
Asia,2000,88.06
Asia,2000,613.23
Asia,2000,43.84
Africa,2000,36.47
Asia,2000,122.91
Asia,2000,59.05
Africa,2000,88.19
Oceania,2000,138.83
Oceania,2000,137.35
North America,2000,259.69
Africa,2000,60.47
Asia,2000,81.82
Asia,2000,9.36
North America,2000,19.77
Oceania,2000,370.69
Africa,2000,99.44
Europe,2000,80.99
Asia,2000,39.18
Europe,2000,242.28
North America,2000,30.13
North America,2000,311.77
South America,2000,18.19
Asia,2000,55.71
Oceania,2000,15.76
Europe,2000,651
South America,2000,26.65
Asia,2000,238.52
Oceania,2000,103.68
Africa,2000,1.02
Asia,2000,35.28
Africa,2000,13.14
Africa,2000,30.29
Asia,2010,59.75
Europe,2010,99.72
Africa,2010,18.24
Oceania,2010,232.11
Europe,2010,166.03
Africa,2010,26.81
North America,2010,171.26
North America,2010,209.65
South America,2010,16.2
Asia,2010,94.33
North America,2010,592.14
Oceania,2010,3.34
Europe,2010,106.21
Asia,2010,118.76
North America,2010,29.15
Asia,2010,1931.33
Asia,2010,1134.52
North America,2010,652.77
Europe,2010,46.41
Europe,2010,378.73
North America,2010,17.2
Africa,2010,112.26
North America,2010,1185.76
Asia,2010,20.12
South America,2010,10.87
Europe,2010,64.8
Africa,2010,4.38
South America,2010,25.04
North America,2010,204.7
Asia,2010,76.62
Europe,2010,62.94
Africa,2010,78.85
Africa,2010,439.04
Asia,2010,90.57
Africa,2010,55.72
North America,2010,3.79
Africa,2010,144.47
North America,2010,254.97
Africa,2010,8.58
Africa,2010,12.96
South America,2010,25.53
Asia,2010,146.79
South America,2010,44.61
Africa,2010,432.96
Oceania,2010,72.16
North America,2010,100.26
Europe,2010,72.39
North America,2010,102.84
North America,2010,426.32
Europe,2010,133.77
Europe,2010,133.53
Europe,2010,135.18
Africa,2010,46.99
North America,2010,95.87
North America,2010,226
Africa,2010,39.6
South America,2010,63.53
Africa,2010,107.2
North America,2010,299.07
Africa,2010,56.9
Africa,2010,30.24
Europe,2010,29.39
Africa,2010,67.99
Africa,2010,106.12
South America,2010,0.31
Europe,2010,37.63
Oceania,2010,50.37
Europe,2010,16.34
Europe,2010,116.88
South America,2010,3.48
Oceania,2010,72.46
Africa,2010,8.56
Africa,2010,240.81
Asia,2010,54.03
Europe,2010,233.34
Africa,2010,134.91
Europe,2010,5451.5
Europe,2010,79.64
North America,2010,0.03
North America,2010,359.49
North America,2010,243.02
Oceania,2010,308.25
North America,2010,159.45
Europe,2010,805.05
Africa,2010,53.71
Africa,2010,55.8
South America,2010,3.71
North America,2010,407.45
North America,2010,89.98
Asia,2010,6794.35
Europe,2010,104.81
Europe,2010,3.56
Asia,2010,424.74
Asia,2010,142.74
Asia,2010,52.96
Asia,2010,97.09
Europe,2010,70.38
Europe,2010,146.93
Asia,2010,421.64
Europe,2010,197.46
Africa,2010,83.15
North America,2010,256.61
Asia,2010,331.4
Europe,2010,933.78
Asia,2010,122.32
Asia,2010,6.97
Africa,2010,89.57
Oceania,2010,155.93
Asia,2010,244.72
Asia,2010,32.13
Asia,2010,30.91
Europe,2010,29.38
Asia,2010,541.8
Africa,2010,74.26
Africa,2010,45.68
Africa,2010,3.78
