Country,Year,Population Density
Afghanistan,2000,29.96
Albania,2000,110.69
Algeria,2000,12.92
American Samoa,2000,292.61
Andorra,2000,141.23
Angola,2000,13.15
Anguilla,2000,121.4
Antigua and Barbuda,2000,169.81
Argentina,2000,13.33
Armenia,2000,106.53
Aruba,2000,495.01
Australia,2000,2.47
Austria,2000,95.51
Azerbaijan,2000,94.58
Bahamas,2000,23.31
Bahrain,2000,929.99
Bangladesh,2000,875.47
Barbados,2000,615.48
Belarus,2000,49.41
Belgium,2000,336.23
Belize,2000,10.47
Benin,2000,62.14
Bermuda,2000,1136.5
Bhutan,2000,15.29
Bolivia,2000,7.82
Bosnia and Herzegovina,2000,81.61
Botswana,2000,2.97
Brazil,2000,20.65
British Virgin Islands,2000,133.14
Brunei,2000,57.92
Bulgaria,2000,73.03
Burkina Faso,2000,43.53
Burundi,2000,226.62
Cambodia,2000,66.94
Cameroon,2000,31.74
Canada,2000,3.07
Cape Verde,2000,113.63
Cayman Islands,2000,150.22
Central African Republic,2000,6.03
Chad,2000,6.43
Chile,2000,20.3
China,2000,130.23
Colombia,2000,34.35
Comoros,2000,288.27
Cook Islands,2000,67.36
Costa Rica,2000,77.87
Croatia,2000,80.37
Cuba,2000,101.07
Curacao,2000,318.52
Cyprus,2000,102.5
Czech Republic,2000,129.78
Denmark,2000,123.93
Djibouti,2000,31.98
Dominica,2000,91.01
Dominican Republic,2000,175.48
DR Congo,2000,20.73
Ecuador,2000,45.61
Egypt,2000,71.2
El Salvador,2000,283.18
Equatorial Guinea,2000,24.42
Eritrea,2000,20.35
Estonia,2000,30.89
Eswatini,2000,59.35
Ethiopia,2000,60.7
Falkland Islands,2000,0.25
Faroe Islands,2000,32.78
Fiji,2000,45.56
Finland,2000,15.3
France,2000,106.34
French Guiana,2000,1.97
French Polynesia,2000,60.22
Gabon,2000,4.76
Gambia,2000,134.49
Georgia,2000,61.19
Germany,2000,228.36
Ghana,2000,82.44
Gibraltar,2000,4623.5
Greece,2000,83.63
Greenland,2000,0.03
Grenada,2000,312.3
Guadeloupe,2000,260.48
Guam,2000,291.78
Guatemala,2000,107.78
Guernsey,2000,757.87
Guinea,2000,33.91
Guinea-Bissau,2000,34.07
Guyana,2000,3.53
Haiti,2000,301.27
Honduras,2000,59.18
Hong Kong,2000,6097.1
Hungary,2000,109.67
Iceland,2000,2.73
India,2000,322.31
Indonesia,2000,112.4
Iran,2000,39.77
Iraq,2000,56.19
Ireland,2000,53.63
Isle of Man,2000,132.1
Israel,2000,294.51
Italy,2000,189.05
Ivory Coast,2000,52.1
Jamaica,2000,237.67
Japan,2000,335.52
Jersey,2000,743.03
Jordan,2000,56.59
Kazakhstan,2000,5.59
Kenya,2000,53.16
Kiribati,2000,109.53
Kuwait,2000,108.59
Kyrgyzstan,2000,24.68
Laos,2000,22.93
Latvia,2000,37.06
Lebanon,2000,413.38
Lesotho,2000,65.84
Liberia,2000,26
Libya,2000,2.93
Liechtenstein,2000,206.41
Lithuania,2000,55.12
Luxembourg,2000,168.46
Macau,2000,14396.53
Madagascar,2000,27.62
Malawi,2000,94.78
Malaysia,2000,69.36
Maldives,2000,941.69
Mali,2000,9.06
Malta,2000,1263.33
Marshall Islands,2000,299.58
Martinique,2000,383.46
Mauritania,2000,2.61
Mauritius,2000,596.04
Mayotte,2000,425.71
Mexico,2000,49.82
Micronesia,2000,159.13
Moldova,2000,125.62
Monaco,2000,16232.5
Mongolia,2000,1.57
Montenegro,2000,45.85
Montserrat,2000,50.37
Morocco,2000,63.94
Mozambique,2000,22.17
Myanmar,2000,67.31
Namibia,2000,2.2
Nauru,2000,494.14
Nepal,2000,166.87
Netherlands,2000,379.91
New Caledonia,2000,11.93
New Zealand,2000,14.25
Nicaragua,2000,39.3
Niger,2000,9.17
Nigeria,2000,132.99
Niue,2000,7.98
North Korea,2000,193.86
North Macedonia,2000,79.26
Northern Mariana Islands,2000,173.14
Norway,2000,13.87
Oman,2000,7.57
Pakistan,2000,175.04
Palau,2000,42.98
Palestine,2000,504.82
Panama,2000,39.8
Papua New Guinea,2000,11.9
Paraguay,2000,12.6
Peru,2000,20.74
Philippines,2000,227.71
Poland,2000,123.14
Portugal,2000,111.85
Puerto Rico,2000,431.47
Qatar,2000,55.75
Republic of the Congo,2000,9.16
Reunion,2000,312.79
Romania,2000,91.95
Russia,2000,8.59
Rwanda,2000,307.92
Saint Barthelemy,2000,337.24
Saint Kitts and Nevis,2000,174.18
Saint Lucia,2000,258.93
Saint Martin,2000,558.68
Saint Pierre and Miquelon,2000,25.93
Saint Vincent and the Grenadines,2000,292.58
Samoa,2000,64.75
San Marino,2000,439.72
Sao Tome and Principe,2000,149.08
Saudi Arabia,2000,10.02
Senegal,2000,49.33
Serbia,2000,89.8
Seychelles,2000,177.12
Sierra Leone,2000,63.9
Singapore,2000,5709.3
Sint Maarten,2000,896.74
Slovakia,2000,109.65
Slovenia,2000,97.88
Solomon Islands,2000,14.88
Somalia,2000,13.68
South Africa,2000,38.34
South Korea,2000,466.91
South Sudan,2000,9.87
Spain,2000,80.52
Sri Lanka,2000,286.18
Sudan,2000,13.94
Suriname,2000,2.92
Sweden,2000,19.7
Switzerland,2000,173.97
Syria,2000,88.06
Taiwan,2000,613.23
Tajikistan,2000,43.84
Tanzania,2000,36.47
Thailand,2000,122.91
Timor-Leste,2000,59.05
Togo,2000,88.19
Tokelau,2000,138.83
Tonga,2000,137.35
Trinidad and Tobago,2000,259.69
Tunisia,2000,60.47
Turkey,2000,81.82
Turkmenistan,2000,9.36
Turks and Caicos Islands,2000,19.77
Tuvalu,2000,370.69
Uganda,2000,99.44
Ukraine,2000,80.99
United Arab Emirates,2000,39.18
United Kingdom,2000,242.28
United States,2000,30.13
United States Virgin Islands,2000,311.77
Uruguay,2000,18.19
Uzbekistan,2000,55.71
Vanuatu,2000,15.76
Vatican City,2000,651
Venezuela,2000,26.65
Vietnam,2000,238.52
Wallis and Futuna,2000,103.68
Western Sahara,2000,1.02
Yemen,2000,35.28
Zambia,2000,13.14
Zimbabwe,2000,30.29
Afghanistan,2010,59.75
Albania,2010,99.72
Algeria,2010,18.24
American Samoa,2010,232.11
Andorra,2010,166.03
Angola,2010,26.81
Anguilla,2010,171.26
Antigua and Barbuda,2010,209.65
Argentina,2010,16.2
Armenia,2010,94.33
Aruba,2010,592.14
Australia,2010,3.34
Austria,2010,106.21
Azerbaijan,2010,118.76
Bahamas,2010,29.15
Bahrain,2010,1931.33
Bangladesh,2010,1134.52
Barbados,2010,652.77
Belarus,2010,46.41
Belgium,2010,378.73
Belize,2010,17.2
Benin,2010,112.26
Bermuda,2010,1185.76
Bhutan,2010,20.12
Bolivia,2010,10.87
Bosnia and Herzegovina,2010,64.8
Botswana,2010,4.38
Brazil,2010,25.04
British Virgin Islands,2010,204.7
Brunei,2010,76.62
Bulgaria,2010,62.94
Burkina Faso,2010,78.85
Burundi,2010,439.04
Cambodia,2010,90.57
Cameroon,2010,55.72
Canada,2010,3.79
Cape Verde,2010,144.47
Cayman Islands,2010,254.97
Central African Republic,2010,8.58
Chad,2010,12.96
Chile,2010,25.53
China,2010,146.79
Colombia,2010,44.61
Comoros,2010,432.96
Cook Islands,2010,72.16
Costa Rica,2010,100.26
Croatia,2010,72.39
Cuba,2010,102.84
Curacao,2010,426.32
Cyprus,2010,133.77
Czech Republic,2010,133.53
Denmark,2010,135.18
Djibouti,2010,46.99
Dominica,2010,95.87
Dominican Republic,2010,226
DR Congo,2010,39.6
Ecuador,2010,63.53
Egypt,2010,107.2
El Salvador,2010,299.07
Equatorial Guinea,2010,56.9
Eritrea,2010,30.24
Estonia,2010,29.39
Eswatini,2010,67.99
Ethiopia,2010,106.12
Falkland Islands,2010,0.31
Faroe Islands,2010,37.63
Fiji,2010,50.37
Finland,2010,16.34
France,2010,116.88
French Guiana,2010,3.48
French Polynesia,2010,72.46
Gabon,2010,8.56
Gambia,2010,240.81
Georgia,2010,54.03
Germany,2010,233.34
Ghana,2010,134.91
Gibraltar,2010,5451.5
Greece,2010,79.64
Greenland,2010,0.03
Grenada,2010,359.49
Guadeloupe,2010,243.02
Guam,2010,308.25
Guatemala,2010,159.45
Guernsey,2010,805.05
Guinea,2010,53.71
Guinea-Bissau,2010,55.8
Guyana,2010,3.71
Haiti,2010,407.45
Honduras,2010,89.98
Hong Kong,2010,6794.35
Hungary,2010,104.81
Iceland,2010,3.56
India,2010,424.74
Indonesia,2010,142.74
Iran,2010,52.96
Iraq,2010,97.09
Ireland,2010,70.38
Isle of Man,2010,146.93
Israel,2010,421.64
Italy,2010,197.46
Ivory Coast,2010,83.15
Jamaica,2010,256.61
Japan,2010,331.4
Jersey,2010,933.78
Jordan,2010,122.32
Kazakhstan,2010,6.97
Kenya,2010,89.57
Kiribati,2010,155.93
Kuwait,2010,244.72
Kyrgyzstan,2010,32.13
Laos,2010,30.91
Latvia,2010,29.38
Lebanon,2010,541.8
Lesotho,2010,74.26
Liberia,2010,45.68
Libya,2010,3.78
Liechtenstein,2010,242.23
Lithuania,2010,43.19
Luxembourg,2010,243.77
Macau,2010,22542.77
Madagascar,2010,48.08
Malawi,2010,163.54
Malaysia,2010,100.36
Maldives,2010,1714.79
Mali,2010,17.11
Malta,2010,1630.88
Marshall Islands,2010,239.85
Martinique,2010,328.36
Mauritania,2010,4.36
Mauritius,2010,636.19
